iter	RMSE
0	1.093117573
1	1.032466133
2	0.9841638653
3	0.9446764748
4	0.914461253
5	0.8908518087
6	0.8700783485
7	0.8539232356
8	0.8404665361
9	0.8289046174
10	0.8175626817
11	0.8082524366
12	0.8006998616
13	0.7969024567
14	0.7932920184
15	0.7886307104
16	0.7860677279
17	0.7825032644
18	0.779691567
19	0.7777534435
20	0.7760934149
21	0.7739526458
22	0.7723885856
23	0.7690483945
24	0.7668976553
25	0.7650796123
26	0.7627913847
27	0.7595784964
28	0.7570716525
29	0.7562436425
30	0.7548220098
31	0.7538093984
32	0.7531520748
33	0.7510800277
34	0.7481015039
35	0.7466403934
36	0.7461078612
37	0.7409900828
38	0.7398466994
39	0.7383594988
40	0.7355446372
41	0.7345220129
42	0.7310951281
43	0.7289390134
44	0.7263332982
45	0.7259891279
46	0.7225671704
47	0.7206930793
48	0.7188790744
49	0.7179936399
50	0.7151706598
51	0.7148451587
52	0.7128873232
53	0.7121996446
54	0.7100935106
55	0.7077927049
56	0.7070690879
57	0.7031758333
58	0.7020573179
59	0.6985554815
60	0.6935742741
61	0.6893664065
62	0.6856820587
63	0.6850963536
64	0.6817593098
65	0.6811682823
66	0.6790309362
67	0.6784903601
68	0.6779973703
69	0.6772313123
70	0.6768730935
71	0.6763214805
72	0.6737293345
73	0.6732269409
74	0.6727744387
75	0.6724550161
76	0.6683026056
77	0.667959181
78	0.6646096634
79	0.6618709196
80	0.6615388336
81	0.6613224795
82	0.6576199125
83	0.6538170929
84	0.6508012121
85	0.6495997893
86	0.6492437462
87	0.6451647856
88	0.6426766121
89	0.6396048458
90	0.639337717
91	0.6376409219
92	0.6374325322
93	0.6363355437
94	0.6345953807
95	0.6343549648
96	0.6327707442
97	0.6278435185
98	0.6246985975
99	0.6220910361
100	0.61976237
101	0.6177007198
102	0.617490666
103	0.615992014
104	0.6128663684
105	0.6125808893
106	0.6094580694
107	0.6077683256
108	0.6049334187
109	0.604866119
110	0.6021767325
111	0.6005976726
112	0.5986142055
113	0.5960153202
114	0.5957964301
115	0.5934310375
116	0.5897318293
117	0.5876947499
118	0.587047332
119	0.5854355488
120	0.5853915217
121	0.5825405019
122	0.5797639966
123	0.5770330654
124	0.574479488
125	0.5742240744
126	0.5735102829
127	0.5713433753
128	0.5692343767
129	0.567852074
130	0.5658057591
131	0.563701063
132	0.5627102091
133	0.5608570384
134	0.5599131261
135	0.5597666474
136	0.5579451415
137	0.5560904619
138	0.5529090033
139	0.5508009729
140	0.5484015053
141	0.5474354173
142	0.5464967195
143	0.5453433207
144	0.5431195947
145	0.5401596521
146	0.5386889176
147	0.5385758013
148	0.5383155457
149	0.5375065388
150	0.5355059726
151	0.5335228561
152	0.5316590389
153	0.5303501388
154	0.5274116291
155	0.524485515
156	0.5243476009
157	0.522070078
158	0.5203651312
159	0.5189375299
160	0.5173497854
161	0.5147955185
162	0.5133358343
163	0.512124208
164	0.5109662645
165	0.5092114843
166	0.5079326277
167	0.5049785281
168	0.5038874301
169	0.5024203326
170	0.5016807622
171	0.4995331034
172	0.4973997672
173	0.4968003673
174	0.4948681789
175	0.4938222485
176	0.4933119112
177	0.4924428096
178	0.4911370638
179	0.4898145148
180	0.4876128362
181	0.4865213742
182	0.4864038706
183	0.4853965239
184	0.4838915955
185	0.4833712418
186	0.4815222262
187	0.4800027256
188	0.4788977657
189	0.4778242492
190	0.4763541082
191	0.4761928595
192	0.4738655582
193	0.4723255442
194	0.4715908668
195	0.4714779591
196	0.4710806355
197	0.4688636333
198	0.468267373
199	0.4662873952
