iter	Passed	Remaining
0	3	653
1	5	579
2	8	567
3	11	564
4	14	564
5	17	562
6	20	553
7	22	543
8	25	537
9	28	533
10	31	539
11	34	536
12	36	531
13	39	526
14	42	520
15	44	516
16	47	512
17	50	512
18	53	511
19	56	508
20	58	501
21	61	496
22	63	491
23	66	486
24	68	478
25	70	474
26	73	470
27	76	467
28	79	466
29	82	466
30	85	463
31	87	459
32	89	451
33	91	447
34	94	444
35	96	441
36	99	437
37	101	433
38	103	428
39	105	423
40	108	419
41	110	415
42	112	411
43	114	406
44	116	402
45	117	393
46	119	389
47	121	383
48	123	380
49	125	376
50	127	373
51	128	366
52	130	361
53	132	358
54	134	354
55	136	351
56	138	348
57	140	345
58	142	341
59	144	337
60	146	334
61	148	331
62	151	328
63	153	325
64	155	322
65	157	319
66	159	315
67	161	313
68	163	309
69	165	307
70	168	305
71	169	301
72	171	298
73	173	294
74	175	292
75	177	289
76	179	286
77	181	284
78	183	281
79	185	278
80	187	275
81	189	272
82	191	269
83	193	267
84	196	265
85	198	262
86	200	259
87	202	257
88	203	254
89	205	251
90	207	248
91	209	245
92	211	243
93	213	240
94	215	237
95	216	235
96	218	232
97	220	229
98	222	227
99	225	225
100	226	222
101	228	219
102	230	217
103	232	214
104	234	212
105	236	210
106	238	207
107	240	205
108	242	202
109	244	200
110	247	198
111	248	195
112	251	193
113	252	190
114	254	188
115	256	186
116	258	183
117	260	181
118	262	178
119	264	176
120	266	174
121	268	171
122	270	169
123	271	166
124	273	164
125	275	161
126	277	159
127	279	157
128	281	154
129	283	152
130	285	150
131	287	148
132	289	145
133	291	143
134	293	141
135	295	138
136	297	136
137	299	134
138	300	132
139	302	129
140	304	127
141	305	124
142	307	122
143	308	120
144	310	117
145	311	115
146	313	113
147	315	110
148	316	108
149	317	105
150	319	103
151	320	101
152	322	98
153	323	96
154	325	94
155	326	92
156	328	89
157	330	87
158	331	85
159	333	83
160	335	81
161	336	78
162	338	76
163	339	74
164	341	72
165	342	70
166	344	68
167	345	65
168	347	63
169	348	61
170	349	59
171	351	57
172	353	55
173	354	52
174	356	50
175	357	48
176	359	46
177	361	44
178	362	42
179	364	40
180	365	38
181	367	36
182	369	34
183	370	32
184	372	30
185	374	28
186	376	26
187	377	24
188	379	22
189	380	20
190	382	18
191	384	16
192	385	13
193	387	11
194	389	9
195	390	7
196	392	5
197	394	3
198	396	1
199	397	0
